Raw Weather Data for La Canada Flintridge, CA
	Average Visibility
1961-12-04	14.1	VAN NUYS AIRPORT
1961-12-05	10.6	VAN NUYS AIRPORT
1961-12-06	11.0	VAN NUYS AIRPORT
1961-12-07	14.9	VAN NUYS AIRPORT
1961-12-08	11.0	VAN NUYS AIRPORT
1961-12-09	8.6	VAN NUYS AIRPORT
1961-12-10	6.5	VAN NUYS AIRPORT
1961-12-11	15.3	VAN NUYS AIRPORT
1961-12-12	14.9	VAN NUYS AIRPORT
1961-12-13	15.7	VAN NUYS AIRPORT
1961-12-14	9.4	VAN NUYS AIRPORT
1961-12-15	22.6	VAN NUYS AIRPORT
1961-12-16	13.5	VAN NUYS AIRPORT
1961-12-17	12.3	VAN NUYS AIRPORT
1961-12-18	5.4	VAN NUYS AIRPORT
1961-12-19	4.8	VAN NUYS AIRPORT
1961-12-20	7.6	VAN NUYS AIRPORT
1961-12-21	6.7	VAN NUYS AIRPORT
1961-12-22	9.3	VAN NUYS AIRPORT
1961-12-23	16.2	VAN NUYS AIRPORT
1961-12-24	15.5	VAN NUYS AIRPORT
1961-12-25	14.5	VAN NUYS AIRPORT
1961-12-26	1.7	VAN NUYS AIRPORT
1961-12-27	7.7	VAN NUYS AIRPORT
1961-12-28	15.3	VAN NUYS AIRPORT
1961-12-29	15.7	VAN NUYS AIRPORT
1961-12-30	13.7	VAN NUYS AIRPORT
1961-12-31	14.9	VAN NUYS AIRPORT
1962-01-01	14.9	VAN NUYS AIRPORT
1962-01-02	14.9	VAN NUYS AIRPORT
1962-01-03	11.8	VAN NUYS AIRPORT
1962-01-04	5.3	VAN NUYS AIRPORT
1962-01-05	16.2	VAN NUYS AIRPORT
1962-01-06	14.9	VAN NUYS AIRPORT
1962-01-07	14.9	VAN NUYS AIRPORT
1962-01-08	13.5	VAN NUYS AIRPORT
1962-01-09	13.5	VAN NUYS AIRPORT
1962-01-10	15.3	VAN NUYS AIRPORT
1962-01-11	15.9	VAN NUYS AIRPORT
1962-01-12	15.3	VAN NUYS AIRPORT
1962-01-13	9.5	VAN NUYS AIRPORT
1962-01-14	16.6	VAN NUYS AIRPORT
1962-01-15	14.9	VAN NUYS AIRPORT
1962-01-16	14.9	VAN NUYS AIRPORT
1962-01-17	13.3	VAN NUYS AIRPORT
1962-01-18	9.0	VAN NUYS AIRPORT
1962-01-19	3.7	VAN NUYS AIRPORT
1962-01-20	5.0	VAN NUYS AIRPORT
1962-01-21	14.1	VAN NUYS AIRPORT
1962-01-22	6.9	VAN NUYS AIRPORT
1962-01-23	11.9	VAN NUYS AIRPORT
1962-01-24	21.1	VAN NUYS AIRPORT
1962-01-25	12.6	VAN NUYS AIRPORT
1962-01-26	6.2	VAN NUYS AIRPORT
1962-01-27	9.3	VAN NUYS AIRPORT
1962-01-28	14.9	VAN NUYS AIRPORT
1962-01-29	14.9	VAN NUYS AIRPORT
1962-01-30	14.9	VAN NUYS AIRPORT
1962-01-31	18.2	VAN NUYS AIRPORT
1962-02-01	16.6	VAN NUYS AIRPORT
1962-02-02	4.2	VAN NUYS AIRPORT
1962-02-03	5.0	VAN NUYS AIRPORT
1962-02-04	3.0	VAN NUYS AIRPORT
1962-02-05	1.5	VAN NUYS AIRPORT
1962-02-06	1.1	VAN NUYS AIRPORT
1962-02-07	1.2	VAN NUYS AIRPORT
1962-02-08	1.9	VAN NUYS AIRPORT
1962-02-09	3.8	VAN NUYS AIRPORT
1962-02-10	4.0	VAN NUYS AIRPORT
1962-02-11	2.2	VAN NUYS AIRPORT
1962-02-12	9.6	VAN NUYS AIRPORT
1962-02-13	15.3	VAN NUYS AIRPORT
1962-02-14	8.6	VAN NUYS AIRPORT
1962-02-15	6.9	VAN NUYS AIRPORT
1962-02-16	10.0	VAN NUYS AIRPORT
1962-02-17	14.9	VAN NUYS AIRPORT
1962-02-18	14.3	VAN NUYS AIRPORT
1962-02-19	7.3	VAN NUYS AIRPORT
1962-02-20	11.2	VAN NUYS AIRPORT
1962-02-21	13.2	VAN NUYS AIRPORT
1962-02-22	17.4	VAN NUYS AIRPORT
1962-02-23	12.0	VAN NUYS AIRPORT
1962-02-24	10.4	VAN NUYS AIRPORT
1962-02-25	11.8	VAN NUYS AIRPORT
1962-02-26	12.2	VAN NUYS AIRPORT
1962-02-27	16.2	VAN NUYS AIRPORT
1962-02-28	12.8	VAN NUYS AIRPORT
1962-03-01	9.2	VAN NUYS AIRPORT
1962-03-02	11.2	VAN NUYS AIRPORT
1962-03-03	12.8	VAN NUYS AIRPORT
1962-03-04	14.9	VAN NUYS AIRPORT
1962-03-05	8.1	VAN NUYS AIRPORT
1962-03-06	8.8	VAN NUYS AIRPORT
1962-03-07	12.2	VAN NUYS AIRPORT
1962-03-08	18.2	VAN NUYS AIRPORT
1962-03-09	10.9	VAN NUYS AIRPORT
1962-03-10	13.1	VAN NUYS AIRPORT
1962-03-11	14.9	VAN NUYS AIRPORT
1962-03-12	15.3	VAN NUYS AIRPORT
1962-03-13	18.6	VAN NUYS AIRPORT
1962-03-14	19.5	VAN NUYS AIRPORT
1962-03-15	17.4	VAN NUYS AIRPORT
1962-03-16	14.7	VAN NUYS AIRPORT
1962-03-17	12.7	VAN NUYS AIRPORT
1962-03-18	10.3	VAN NUYS AIRPORT
1962-03-19	9.9	VAN NUYS AIRPORT
1962-03-20	12.4	VAN NUYS AIRPORT
1962-03-21	9.9	VAN NUYS AIRPORT
1962-03-22	10.4	VAN NUYS AIRPORT
1962-03-23	14.0	VAN NUYS AIRPORT
1962-03-24	15.5	VAN NUYS AIRPORT
1962-03-25	14.9	VAN NUYS AIRPORT
1962-03-26	12.6	VAN NUYS AIRPORT
1962-03-27	5.0	VAN NUYS AIRPORT
1962-03-28	1.8	VAN NUYS AIRPORT
1962-03-29	3.2	VAN NUYS AIRPORT
1962-03-30	9.8	VAN NUYS AIRPORT
1962-03-31	9.0	VAN NUYS AIRPORT
1962-04-01	9.2	VAN NUYS AIRPORT
1962-04-02	4.5	VAN NUYS AIRPORT
1962-04-03	4.0	VAN NUYS AIRPORT
1962-04-04	4.6	VAN NUYS AIRPORT
1962-04-05	4.6	VAN NUYS AIRPORT
1962-04-06	13.0	VAN NUYS AIRPORT
1962-04-07	12.4	VAN NUYS AIRPORT
1962-04-08	14.5	VAN NUYS AIRPORT
1962-04-09	8.0	VAN NUYS AIRPORT
1962-04-10	4.8	VAN NUYS AIRPORT
1962-04-11	5.6	VAN NUYS AIRPORT
1962-04-12	13.0	VAN NUYS AIRPORT
1962-04-13	12.6	VAN NUYS AIRPORT
1962-04-14	10.3	VAN NUYS AIRPORT
1962-04-15	14.9	VAN NUYS AIRPORT
1962-04-16	12.3	VAN NUYS AIRPORT
1962-04-17	8.7	VAN NUYS AIRPORT
1962-04-18	6.0	VAN NUYS AIRPORT
1962-04-19	4.2	VAN NUYS AIRPORT
1962-04-20	13.5	VAN NUYS AIRPORT
1962-04-21	14.1	VAN NUYS AIRPORT
1962-04-22	14.9	VAN NUYS AIRPORT
1962-04-23	14.1	VAN NUYS AIRPORT
1962-04-24	5.1	VAN NUYS AIRPORT
1962-04-25	5.1	VAN NUYS AIRPORT
1962-04-26	11.2	VAN NUYS AIRPORT
1962-04-27	7.7	VAN NUYS AIRPORT
1962-04-28	5.9	VAN NUYS AIRPORT
1962-04-29	12.2	VAN NUYS AIRPORT
1962-04-30	14.9	VAN NUYS AIRPORT
1962-05-01	13.0	VAN NUYS AIRPORT
1962-05-02	13.9	VAN NUYS AIRPORT
1962-05-03	12.3	VAN NUYS AIRPORT
1962-05-04	7.1	VAN NUYS AIRPORT
1962-05-05	7.5	VAN NUYS AIRPORT
1962-05-06	10.2	VAN NUYS AIRPORT
1962-05-07	7.8	VAN NUYS AIRPORT
1962-05-08	4.9	VAN NUYS AIRPORT
1962-05-09	5.4	VAN NUYS AIRPORT
1962-05-10	10.3	VAN NUYS AIRPORT
1962-05-11	9.3	VAN NUYS AIRPORT
1962-05-12	12.7	VAN NUYS AIRPORT
1962-05-13	14.5	VAN NUYS AIRPORT
1962-05-14	14.9	VAN NUYS AIRPORT
1962-05-15	11.2	VAN NUYS AIRPORT
1962-05-16	9.6	VAN NUYS AIRPORT
1962-05-17	11.2	VAN NUYS AIRPORT
1962-05-18	8.0	VAN NUYS AIRPORT
1962-05-19	7.8	VAN NUYS AIRPORT
1962-05-20	10.2	VAN NUYS AIRPORT
1962-05-21	14.9	VAN NUYS AIRPORT
1962-05-22	13.9	VAN NUYS AIRPORT
1962-05-23	10.0	VAN NUYS AIRPORT
1962-05-24	9.5	VAN NUYS AIRPORT
1962-05-25	10.4	VAN NUYS AIRPORT
1962-05-26	13.5	VAN NUYS AIRPORT
1962-05-27	12.0	VAN NUYS AIRPORT
1962-05-28	10.7	VAN NUYS AIRPORT
1962-05-29	8.7	VAN NUYS AIRPORT
1962-05-30	6.5	VAN NUYS AIRPORT
1962-05-31	6.0	VAN NUYS AIRPORT
1962-06-01	3.9	VAN NUYS AIRPORT
1962-06-02	3.2	VAN NUYS AIRPORT
1962-06-03	2.6	VAN NUYS AIRPORT
1962-06-04	7.2	VAN NUYS AIRPORT
1962-06-05	5.4	VAN NUYS AIRPORT
1962-06-06	6.0	VAN NUYS AIRPORT
1962-06-07	4.1	VAN NUYS AIRPORT
1962-06-08	3.8	VAN NUYS AIRPORT
1962-06-09	2.6	VAN NUYS AIRPORT
1962-06-10	2.3	VAN NUYS AIRPORT
1962-06-11	3.9	VAN NUYS AIRPORT
1962-06-12	2.8	VAN NUYS AIRPORT
1962-06-13	3.7	VAN NUYS AIRPORT
1962-06-14	11.6	VAN NUYS AIRPORT
1962-06-15	12.0	VAN NUYS AIRPORT
1962-06-16	9.4	VAN NUYS AIRPORT
1962-06-17	11.8	VAN NUYS AIRPORT
1962-06-18	8.5	VAN NUYS AIRPORT
1962-06-19	8.0	VAN NUYS AIRPORT
1962-06-20	3.1	VAN NUYS AIRPORT
1962-06-21	4.4	VAN NUYS AIRPORT
1962-06-22	5.6	VAN NUYS AIRPORT
1962-06-23	5.6	VAN NUYS AIRPORT
1962-06-24	10.6	VAN NUYS AIRPORT
1962-06-25	11.6	VAN NUYS AIRPORT
1962-06-26	9.1	VAN NUYS AIRPORT
1962-06-27	8.0	VAN NUYS AIRPORT
1962-06-28	8.2	VAN NUYS AIRPORT
1962-06-29	6.5	VAN NUYS AIRPORT
1962-06-30	8.5	VAN NUYS AIRPORT
1962-07-01	11.3	VAN NUYS AIRPORT
1962-07-02	13.0	VAN NUYS AIRPORT
1962-07-03	8.8	VAN NUYS AIRPORT
1962-07-04	7.8	VAN NUYS AIRPORT
1962-07-05	8.8	VAN NUYS AIRPORT
1962-07-06	9.0	VAN NUYS AIRPORT
1962-07-07	10.9	VAN NUYS AIRPORT
1962-07-08	13.0	VAN NUYS AIRPORT
1962-07-09	15.5	VAN NUYS AIRPORT
1962-07-10	10.4	VAN NUYS AIRPORT
1962-07-11	8.5	VAN NUYS AIRPORT
1962-07-12	6.3	VAN NUYS AIRPORT
1962-07-13	9.5	VAN NUYS AIRPORT
1962-07-14	4.6	VAN NUYS AIRPORT
1962-07-15	3.8	VAN NUYS AIRPORT
1962-07-16	2.9	VAN NUYS AIRPORT
1962-07-17	3.6	VAN NUYS AIRPORT
1962-07-18	4.0	VAN NUYS AIRPORT
1962-07-19	7.1	VAN NUYS AIRPORT
1962-07-20	11.6	VAN NUYS AIRPORT
1962-07-21	9.9	VAN NUYS AIRPORT
1962-07-22	11.4	VAN NUYS AIRPORT
1962-07-23	5.8	VAN NUYS AIRPORT
1962-07-24	4.6	VAN NUYS AIRPORT
1962-07-25	5.9	VAN NUYS AIRPORT
1962-07-26	5.7	VAN NUYS AIRPORT
1962-07-27	3.5	VAN NUYS AIRPORT
1962-07-28	4.5	VAN NUYS AIRPORT
1962-07-29	8.0	VAN NUYS AIRPORT
1962-07-30	14.9	VAN NUYS AIRPORT
1962-07-31	12.7	VAN NUYS AIRPORT
1962-08-01	8.2	VAN NUYS AIRPORT
1962-08-02	3.6	VAN NUYS AIRPORT
1962-08-03	5.7	VAN NUYS AIRPORT
1962-08-04	6.2	VAN NUYS AIRPORT
1962-08-05	10.6	VAN NUYS AIRPORT
1962-08-06	16.2	VAN NUYS AIRPORT
1962-08-07	16.6	VAN NUYS AIRPORT
1962-08-08	17.8	VAN NUYS AIRPORT
1962-08-09	17.8	VAN NUYS AIRPORT
1962-08-10	17.6	VAN NUYS AIRPORT
1962-08-11	13.0	VAN NUYS AIRPORT
1962-08-12	10.0	VAN NUYS AIRPORT
1962-08-13	9.4	VAN NUYS AIRPORT
1962-08-14	8.5	VAN NUYS AIRPORT
1973-01-01	21.6	BURBANK-GLENDALE-PAS
1973-01-02	25.8	BURBANK-GLENDALE-PAS
1973-01-03	23.2	BURBANK-GLENDALE-PAS
1973-01-04	26.7	BURBANK-GLENDALE-PAS
1973-01-05	22.7	BURBANK-GLENDALE-PAS
1973-01-06	25.7	BURBANK-GLENDALE-PAS
1973-01-07	16.2	BURBANK-GLENDALE-PAS
1973-01-08	10.3	BURBANK-GLENDALE-PAS
1973-01-09	6.3	BURBANK-GLENDALE-PAS
1973-01-10	19.2	BURBANK-GLENDALE-PAS
1973-01-11	17.3	BURBANK-GLENDALE-PAS
1973-01-12	11.2	BURBANK-GLENDALE-PAS
1973-01-13	21.8	BURBANK-GLENDALE-PAS
1973-01-14	30.5	BURBANK-GLENDALE-PAS
1973-01-15	2.5	BURBANK-GLENDALE-PAS
1973-01-16	3.5	BURBANK-GLENDALE-PAS
1973-01-17	13.3	BURBANK-GLENDALE-PAS
1973-01-18	13.6	BURBANK-GLENDALE-PAS
1973-01-19	27.8	BURBANK-GLENDALE-PAS
1973-01-20	30.9	BURBANK-GLENDALE-PAS
1973-01-21	25.5	BURBANK-GLENDALE-PAS
1973-01-22	29.6	BURBANK-GLENDALE-PAS
1973-01-23	28.7	BURBANK-GLENDALE-PAS
1973-01-24	30.9	BURBANK-GLENDALE-PAS
1973-01-25	12.0	BURBANK-GLENDALE-PAS
1973-01-26	26.9	BURBANK-GLENDALE-PAS
1973-01-27	30.7	BURBANK-GLENDALE-PAS
1973-01-28	28.2	BURBANK-GLENDALE-PAS
1973-01-29	24.4	BURBANK-GLENDALE-PAS
1973-01-30	13.5	BURBANK-GLENDALE-PAS
1973-01-31	22.8	BURBANK-GLENDALE-PAS
1973-02-01	29.3	BURBANK-GLENDALE-PAS
1973-02-02	35.9	BURBANK-GLENDALE-PAS
1973-02-03	21.5	BURBANK-GLENDALE-PAS
1973-02-04	9.0	BURBANK-GLENDALE-PAS
1973-02-05	15.8	BURBANK-GLENDALE-PAS
1973-02-06	6.6	BURBANK-GLENDALE-PAS
1973-02-07	8.6	BURBANK-GLENDALE-PAS
1973-02-08	11.5	BURBANK-GLENDALE-PAS
1973-02-09	7.9	BURBANK-GLENDALE-PAS
1973-02-10	14.1	MOUNT WILSON
1973-02-11	7.9	BURBANK-GLENDALE-PAS
1973-02-12	18.1	BURBANK-GLENDALE-PAS
1973-02-13	19.1	BURBANK-GLENDALE-PAS
1973-02-14	14.4	BURBANK-GLENDALE-PAS
1973-02-15	27.8	BURBANK-GLENDALE-PAS
1973-02-16	30.2	BURBANK-GLENDALE-PAS
1973-02-17	32.6	BURBANK-GLENDALE-PAS
1973-02-18	23.6	BURBANK-GLENDALE-PAS
1973-02-19	25.9	BURBANK-GLENDALE-PAS
1973-02-20	41.0	BURBANK-GLENDALE-PAS
1973-02-21	43.7	BURBANK-GLENDALE-PAS
1973-02-22	34.3	BURBANK-GLENDALE-PAS
1973-02-23	8.0	BURBANK-GLENDALE-PAS
1973-02-24	8.2	BURBANK-GLENDALE-PAS
1973-02-25	7.5	BURBANK-GLENDALE-PAS
1973-02-26	6.0	BURBANK-GLENDALE-PAS
1973-02-27	5.5	BURBANK-GLENDALE-PAS
1973-02-28	10.9	BURBANK-GLENDALE-PAS
1973-03-01	15.2	BURBANK-GLENDALE-PAS
1973-03-02	12.1	BURBANK-GLENDALE-PAS
1973-03-03	12.8	BURBANK-GLENDALE-PAS
1973-03-04	23.0	BURBANK-GLENDALE-PAS
1973-03-05	23.1	BURBANK-GLENDALE-PAS
1973-03-06	14.9	BURBANK-GLENDALE-PAS
1973-03-07	24.6	BURBANK-GLENDALE-PAS
1973-03-08	14.9	BURBANK-GLENDALE-PAS
1973-03-09	22.9	BURBANK-GLENDALE-PAS
1973-03-10	12.6	BURBANK-GLENDALE-PAS
1973-03-11	9.6	BURBANK-GLENDALE-PAS
1973-03-12	20.3	BURBANK-GLENDALE-PAS
1973-03-13	17.7	BURBANK-GLENDALE-PAS
1973-03-14	35.7	BURBANK-GLENDALE-PAS
1973-03-15	29.6	BURBANK-GLENDALE-PAS
1973-03-16	23.0	BURBANK-GLENDALE-PAS
1973-03-17	17.0	BURBANK-GLENDALE-PAS
1973-03-18	11.0	MOUNT WILSON
1973-03-19	13.1	BURBANK-GLENDALE-PAS
1973-03-20	17.2	BURBANK-GLENDALE-PAS
1973-03-21	27.5	BURBANK-GLENDALE-PAS
1973-03-22	29.4	BURBANK-GLENDALE-PAS
1973-03-23	22.2	BURBANK-GLENDALE-PAS
1973-03-24	13.7	BURBANK-GLENDALE-PAS
1973-03-25	10.5	BURBANK-GLENDALE-PAS
1973-03-26	19.9	BURBANK-GLENDALE-PAS
1973-03-27	12.3	BURBANK-GLENDALE-PAS
1973-03-28	19.0	BURBANK-GLENDALE-PAS
1973-03-29	36.8	BURBANK-GLENDALE-PAS
1973-03-30	21.0	BURBANK-GLENDALE-PAS
1973-03-31	10.8	BURBANK-GLENDALE-PAS
1973-04-01	22.0	BURBANK-GLENDALE-PAS
1973-04-02	28.6	MOUNT WILSON
1973-04-03	34.0	BURBANK-GLENDALE-PAS
1973-04-04	25.6	BURBANK-GLENDALE-PAS
1973-04-05	34.0	BURBANK-GLENDALE-PAS
1973-04-06	18.2	BURBANK-GLENDALE-PAS
1973-04-07	5.6	BURBANK-GLENDALE-PAS
1973-04-08	21.5	BURBANK-GLENDALE-PAS
1973-04-09	16.9	BURBANK-GLENDALE-PAS
1973-04-10	10.5	BURBANK-GLENDALE-PAS
1973-04-11	7.1	BURBANK-GLENDALE-PAS
1973-04-12	4.5	BURBANK-GLENDALE-PAS
1973-04-13	3.1	BURBANK-GLENDALE-PAS
1973-04-14	20.7	BURBANK-GLENDALE-PAS
1973-04-15	19.1	BURBANK-GLENDALE-PAS
1973-04-16	6.7	BURBANK-GLENDALE-PAS
1973-04-17	4.5	BURBANK-GLENDALE-PAS
1973-04-18	28.4	BURBANK-GLENDALE-PAS
1973-04-19	30.9	BURBANK-GLENDALE-PAS
1973-04-20	33.1	BURBANK-GLENDALE-PAS
1973-04-21	35.2	BURBANK-GLENDALE-PAS
1973-04-22	34.6	BURBANK-GLENDALE-PAS
1973-04-23	27.3	BURBANK-GLENDALE-PAS
1973-04-24	6.8	BURBANK-GLENDALE-PAS
1973-04-25	4.2	BURBANK-GLENDALE-PAS
1973-04-26	2.8	BURBANK-GLENDALE-PAS
1973-04-27	2.2	BURBANK-GLENDALE-PAS
1973-04-28	2.3	BURBANK-GLENDALE-PAS
1973-04-29	7.6	BURBANK-GLENDALE-PAS
1973-04-30	14.5	BURBANK-GLENDALE-PAS
1973-05-01	9.9	BURBANK-GLENDALE-PAS
1973-05-02	14.5	BURBANK-GLENDALE-PAS
1973-05-03	19.5	BURBANK-GLENDALE-PAS
1973-05-04	12.3	BURBANK-GLENDALE-PAS
1973-05-05	15.6	BURBANK-GLENDALE-PAS
1973-05-06	10.7	BURBANK-GLENDALE-PAS
1973-05-07	8.6	BURBANK-GLENDALE-PAS
1973-05-08	6.9	BURBANK-GLENDALE-PAS
1973-05-09	5.3	BURBANK-GLENDALE-PAS
1973-05-10	5.4	BURBANK-GLENDALE-PAS
1973-05-11	3.3	BURBANK-GLENDALE-PAS
1973-05-12	1.7	BURBANK-GLENDALE-PAS
1973-05-13	1.7	BURBANK-GLENDALE-PAS
1973-05-14	2.4	BURBANK-GLENDALE-PAS
1973-05-15	4.1	BURBANK-GLENDALE-PAS
1973-05-16	4.3	BURBANK-GLENDALE-PAS
1973-05-17	2.9	BURBANK-GLENDALE-PAS
1973-05-18	1.8	BURBANK-GLENDALE-PAS
1973-05-19	1.9	BURBANK-GLENDALE-PAS
1973-05-20	2.6	BURBANK-GLENDALE-PAS
1973-05-21	4.0	BURBANK-GLENDALE-PAS
1973-05-22	4.8	BURBANK-GLENDALE-PAS
1973-05-23	4.2	BURBANK-GLENDALE-PAS
1973-05-24	3.0	BURBANK-GLENDALE-PAS
1973-05-25	3.0	BURBANK-GLENDALE-PAS
1973-05-26	11.2	BURBANK-GLENDALE-PAS
1973-05-27	27.0	BURBANK-GLENDALE-PAS
1973-05-28	24.8	BURBANK-GLENDALE-PAS
1973-05-29	10.9	BURBANK-GLENDALE-PAS
1973-05-30	6.4	BURBANK-GLENDALE-PAS
1973-05-31	4.5	BURBANK-GLENDALE-PAS
1973-06-01	12.2	BURBANK-GLENDALE-PAS
1973-06-02	16.1	BURBANK-GLENDALE-PAS
1973-06-03	9.3	BURBANK-GLENDALE-PAS
1973-06-04	3.7	BURBANK-GLENDALE-PAS
1973-06-05	4.0	BURBANK-GLENDALE-PAS
1973-06-06	5.7	BURBANK-GLENDALE-PAS
1973-06-07	10.5	BURBANK-GLENDALE-PAS
1973-06-08	3.4	BURBANK-GLENDALE-PAS
1973-06-09	3.5	BURBANK-GLENDALE-PAS
1973-06-10	3.6	BURBANK-GLENDALE-PAS
1973-06-11	4.8	BURBANK-GLENDALE-PAS
1973-06-12	6.7	BURBANK-GLENDALE-PAS
1973-06-13	4.4	BURBANK-GLENDALE-PAS
1973-06-14	5.2	BURBANK-GLENDALE-PAS
1973-06-15	12.2	BURBANK-GLENDALE-PAS
1973-06-16	9.8	BURBANK-GLENDALE-PAS
1973-06-17	9.2	BURBANK-GLENDALE-PAS
1973-06-18	9.3	BURBANK-GLENDALE-PAS
1973-06-19	14.6	BURBANK-GLENDALE-PAS
1973-06-20	30.9	BURBANK-GLENDALE-PAS
1973-06-21	28.3	BURBANK-GLENDALE-PAS
1973-06-22	20.1	BURBANK-GLENDALE-PAS
1973-06-23	19.7	BURBANK-GLENDALE-PAS
1973-06-24	20.7	BURBANK-GLENDALE-PAS
1973-06-25	12.2	BURBANK-GLENDALE-PAS
1973-06-26	2.5	BURBANK-GLENDALE-PAS
1973-06-27	2.9	BURBANK-GLENDALE-PAS
1973-06-28	5.6	BURBANK-GLENDALE-PAS
1973-06-29	4.4	BURBANK-GLENDALE-PAS
1973-06-30	2.4	BURBANK-GLENDALE-PAS
1973-07-01	2.6	BURBANK-GLENDALE-PAS
1973-07-02	12.2	BURBANK-GLENDALE-PAS
1973-07-03	15.6	BURBANK-GLENDALE-PAS
1973-07-04	6.8	BURBANK-GLENDALE-PAS
1973-07-05	6.5	BURBANK-GLENDALE-PAS
1973-07-06	2.6	BURBANK-GLENDALE-PAS
1973-07-07	2.7	BURBANK-GLENDALE-PAS
1973-07-08	2.2	BURBANK-GLENDALE-PAS
1973-07-09	2.7	BURBANK-GLENDALE-PAS
1973-07-10	7.3	BURBANK-GLENDALE-PAS
1973-07-11	5.2	BURBANK-GLENDALE-PAS
1973-07-12	4.4	BURBANK-GLENDALE-PAS
1973-07-13	7.7	BURBANK-GLENDALE-PAS
1973-07-14	3.6	BURBANK-GLENDALE-PAS
1973-07-15	6.1	BURBANK-GLENDALE-PAS
1973-07-16	5.6	BURBANK-GLENDALE-PAS
1973-07-17	8.9	BURBANK-GLENDALE-PAS
1973-07-18	6.6	BURBANK-GLENDALE-PAS
1973-07-19	5.5	BURBANK-GLENDALE-PAS
1973-07-20	4.8	BURBANK-GLENDALE-PAS
1973-07-21	7.7	BURBANK-GLENDALE-PAS
1973-07-22	5.3	BURBANK-GLENDALE-PAS
1973-07-23	4.1	BURBANK-GLENDALE-PAS
1973-07-24	5.7	BURBANK-GLENDALE-PAS
1973-07-25	6.9	BURBANK-GLENDALE-PAS
1973-07-26	8.2	BURBANK-GLENDALE-PAS
1973-07-27	5.4	BURBANK-GLENDALE-PAS
1973-07-28	6.0	BURBANK-GLENDALE-PAS
1973-07-29	7.9	BURBANK-GLENDALE-PAS
1973-07-30	5.2	BURBANK-GLENDALE-PAS
1973-07-31	5.1	BURBANK-GLENDALE-PAS
1973-08-01	6.9	BURBANK-GLENDALE-PAS
1973-08-02	4.8	BURBANK-GLENDALE-PAS
