Raw Weather Data for La Canada Flintridge, CA
	Maximum Daily Temperature
1962-06-06	73.4	VAN NUYS AIRPORT
1962-06-07	73.0	VAN NUYS AIRPORT
1962-06-08	79.3	VAN NUYS AIRPORT
1962-06-09	74.3	VAN NUYS AIRPORT
1962-06-10	74.3	VAN NUYS AIRPORT
1962-06-11	78.4	VAN NUYS AIRPORT
1962-06-12	75.9	VAN NUYS AIRPORT
1962-06-13	73.9	VAN NUYS AIRPORT
1962-06-14	68.0	VAN NUYS AIRPORT
1962-06-15	62.4	VAN NUYS AIRPORT
1962-06-16	70.3	VAN NUYS AIRPORT
1962-06-17	86.4	VAN NUYS AIRPORT
1962-06-18	97.3	VAN NUYS AIRPORT
1962-06-19	97.0	VAN NUYS AIRPORT
1962-06-20	94.3	VAN NUYS AIRPORT
1962-06-21	93.4	VAN NUYS AIRPORT
1962-06-22	90.3	VAN NUYS AIRPORT
1962-06-23	95.4	VAN NUYS AIRPORT
1962-06-24	97.3	VAN NUYS AIRPORT
1962-06-25	94.3	VAN NUYS AIRPORT
1962-06-26	96.4	VAN NUYS AIRPORT
1962-06-27	93.0	VAN NUYS AIRPORT
1962-06-28	82.9	VAN NUYS AIRPORT
1962-06-29	86.4	VAN NUYS AIRPORT
1962-06-30	89.4	VAN NUYS AIRPORT
1962-07-01	86.4	VAN NUYS AIRPORT
1962-07-02	91.4	VAN NUYS AIRPORT
1962-07-03	88.3	VAN NUYS AIRPORT
1962-07-04	89.4	VAN NUYS AIRPORT
1962-07-05	90.3	VAN NUYS AIRPORT
1962-07-06	90.3	VAN NUYS AIRPORT
1962-07-07	94.3	VAN NUYS AIRPORT
1962-07-08	96.4	VAN NUYS AIRPORT
1962-07-09	95.0	VAN NUYS AIRPORT
1962-07-10	95.4	VAN NUYS AIRPORT
1962-07-11	95.0	VAN NUYS AIRPORT
1962-07-12	84.9	VAN NUYS AIRPORT
1962-07-13	79.3	VAN NUYS AIRPORT
1962-07-14	81.3	VAN NUYS AIRPORT
1962-07-15	81.3	VAN NUYS AIRPORT
1962-07-16	81.3	VAN NUYS AIRPORT
1962-07-17	84.4	VAN NUYS AIRPORT
1962-07-18	87.4	VAN NUYS AIRPORT
1962-07-19	87.4	VAN NUYS AIRPORT
1962-07-20	95.4	VAN NUYS AIRPORT
1962-07-21	100.4	VAN NUYS AIRPORT
1962-07-22	91.0	VAN NUYS AIRPORT
1962-07-23	88.3	VAN NUYS AIRPORT
1962-07-24	92.3	VAN NUYS AIRPORT
1962-07-25	91.4	VAN NUYS AIRPORT
1962-07-26	90.3	VAN NUYS AIRPORT
1962-07-27	91.4	VAN NUYS AIRPORT
1962-07-28	90.3	VAN NUYS AIRPORT
1962-07-29	88.3	VAN NUYS AIRPORT
1962-07-30	88.3	VAN NUYS AIRPORT
1962-07-31	92.3	VAN NUYS AIRPORT
1962-08-01	91.9	VAN NUYS AIRPORT
1962-08-02	86.0	VAN NUYS AIRPORT
1962-08-03	86.4	VAN NUYS AIRPORT
1962-08-04	85.3	VAN NUYS AIRPORT
1962-08-05	87.4	VAN NUYS AIRPORT
1962-08-06	93.4	VAN NUYS AIRPORT
1962-08-07	97.3	VAN NUYS AIRPORT
1962-08-08	102.4	VAN NUYS AIRPORT
1962-08-09	97.3	VAN NUYS AIRPORT
1962-08-10	93.4	VAN NUYS AIRPORT
1962-08-11	94.3	VAN NUYS AIRPORT
1962-08-12	104.4	VAN NUYS AIRPORT
1962-08-13	104.0	VAN NUYS AIRPORT
1962-08-14	104.0	VAN NUYS AIRPORT
1973-01-01	64.4	BURBANK-GLENDALE-PAS
1973-01-02	66.2	BURBANK-GLENDALE-PAS
1973-01-03	60.8	BURBANK-GLENDALE-PAS
1973-01-04	55.4	BURBANK-GLENDALE-PAS
1973-01-05	60.8	BURBANK-GLENDALE-PAS
1973-01-06	60.8	BURBANK-GLENDALE-PAS
1973-01-07	59.0	BURBANK-GLENDALE-PAS
1973-01-08	57.2	BURBANK-GLENDALE-PAS
1973-01-09	57.2	BURBANK-GLENDALE-PAS
1973-01-10	66.2	BURBANK-GLENDALE-PAS
1973-01-11	70.0	BURBANK-GLENDALE-PAS
1973-01-12	70.9	BURBANK-GLENDALE-PAS
1973-01-13	81.9	BURBANK-GLENDALE-PAS
1973-01-14	82.9	BURBANK-GLENDALE-PAS
1973-01-15	77.9	BURBANK-GLENDALE-PAS
1973-01-16	59.0	BURBANK-GLENDALE-PAS
1973-01-17	61.0	BURBANK-GLENDALE-PAS
1973-01-18	59.9	BURBANK-GLENDALE-PAS
1973-01-19	54.9	BURBANK-GLENDALE-PAS
1973-01-20	59.9	BURBANK-GLENDALE-PAS
1973-01-21	59.9	BURBANK-GLENDALE-PAS
1973-01-22	68.0	BURBANK-GLENDALE-PAS
1973-01-23	65.8	BURBANK-GLENDALE-PAS
1973-01-24	68.0	BURBANK-GLENDALE-PAS
1973-01-25	61.9	BURBANK-GLENDALE-PAS
1973-01-26	63.0	BURBANK-GLENDALE-PAS
1973-01-27	68.9	BURBANK-GLENDALE-PAS
1973-01-28	73.9	BURBANK-GLENDALE-PAS
1973-01-29	72.9	BURBANK-GLENDALE-PAS
1973-01-30	64.9	BURBANK-GLENDALE-PAS
1973-01-31	66.9	BURBANK-GLENDALE-PAS
1973-02-01	70.0	BURBANK-GLENDALE-PAS
1973-02-02	66.9	BURBANK-GLENDALE-PAS
1973-02-03	64.9	BURBANK-GLENDALE-PAS
1973-02-04	59.9	BURBANK-GLENDALE-PAS
1973-02-05	63.9	BURBANK-GLENDALE-PAS
1973-02-06	61.9	BURBANK-GLENDALE-PAS
1973-02-07	59.9	BURBANK-GLENDALE-PAS
1973-02-08	64.9	BURBANK-GLENDALE-PAS
1973-02-09	61.9	BURBANK-GLENDALE-PAS
1973-02-10	37.4	MOUNT WILSON
1973-02-11	59.9	BURBANK-GLENDALE-PAS
1973-02-12	59.0	BURBANK-GLENDALE-PAS
1973-02-13	61.9	BURBANK-GLENDALE-PAS
1973-02-14	59.9	BURBANK-GLENDALE-PAS
1973-02-15	61.0	BURBANK-GLENDALE-PAS
1973-02-16	68.9	BURBANK-GLENDALE-PAS
1973-02-17	72.0	BURBANK-GLENDALE-PAS
1973-02-18	70.9	BURBANK-GLENDALE-PAS
1973-02-19	74.8	BURBANK-GLENDALE-PAS
1973-02-20	79.9	BURBANK-GLENDALE-PAS
1973-02-21	73.9	BURBANK-GLENDALE-PAS
1973-02-22	65.8	BURBANK-GLENDALE-PAS
1973-02-23	66.9	BURBANK-GLENDALE-PAS
1973-02-24	66.9	BURBANK-GLENDALE-PAS
1973-02-25	70.9	BURBANK-GLENDALE-PAS
1973-02-26	70.0	BURBANK-GLENDALE-PAS
1973-02-27	68.0	BURBANK-GLENDALE-PAS
1973-02-28	64.9	BURBANK-GLENDALE-PAS
1973-03-01	65.8	BURBANK-GLENDALE-PAS
1973-03-02	68.9	BURBANK-GLENDALE-PAS
1973-03-03	70.0	BURBANK-GLENDALE-PAS
1973-03-04	68.9	BURBANK-GLENDALE-PAS
1973-03-05	61.0	BURBANK-GLENDALE-PAS
1973-03-06	59.9	BURBANK-GLENDALE-PAS
1973-03-07	64.9	BURBANK-GLENDALE-PAS
1973-03-08	61.9	BURBANK-GLENDALE-PAS
1973-03-09	64.9	BURBANK-GLENDALE-PAS
1973-03-10	63.9	BURBANK-GLENDALE-PAS
1973-03-11	57.9	BURBANK-GLENDALE-PAS
1973-03-12	57.9	BURBANK-GLENDALE-PAS
1973-03-13	59.9	BURBANK-GLENDALE-PAS
1973-03-14	64.9	BURBANK-GLENDALE-PAS
1973-03-15	70.0	BURBANK-GLENDALE-PAS
1973-03-16	72.0	BURBANK-GLENDALE-PAS
1973-03-17	70.0	BURBANK-GLENDALE-PAS
1973-03-18	41.0	MOUNT WILSON
1973-03-19	64.9	BURBANK-GLENDALE-PAS
1973-03-20	59.0	BURBANK-GLENDALE-PAS
1973-03-21	57.9	BURBANK-GLENDALE-PAS
1973-03-22	61.9	BURBANK-GLENDALE-PAS
1973-03-23	64.9	BURBANK-GLENDALE-PAS
1973-03-24	68.9	BURBANK-GLENDALE-PAS
1973-03-25	64.9	BURBANK-GLENDALE-PAS
1973-03-26	57.9	BURBANK-GLENDALE-PAS
1973-03-27	55.9	BURBANK-GLENDALE-PAS
1973-03-28	61.0	BURBANK-GLENDALE-PAS
1973-03-29	68.0	BURBANK-GLENDALE-PAS
1973-03-30	66.9	BURBANK-GLENDALE-PAS
1973-03-31	65.8	BURBANK-GLENDALE-PAS
1973-04-01	63.9	BURBANK-GLENDALE-PAS
1973-04-02	37.4	MOUNT WILSON
1973-04-03	74.8	BURBANK-GLENDALE-PAS
1973-04-04	74.8	BURBANK-GLENDALE-PAS
1973-04-05	79.9	BURBANK-GLENDALE-PAS
1973-04-06	79.9	BURBANK-GLENDALE-PAS
1973-04-07	72.0	BURBANK-GLENDALE-PAS
1973-04-08	79.0	BURBANK-GLENDALE-PAS
1973-04-09	79.9	BURBANK-GLENDALE-PAS
1973-04-10	79.0	BURBANK-GLENDALE-PAS
1973-04-11	74.8	BURBANK-GLENDALE-PAS
1973-04-12	73.9	BURBANK-GLENDALE-PAS
1973-04-13	66.9	BURBANK-GLENDALE-PAS
1973-04-14	65.8	BURBANK-GLENDALE-PAS
1973-04-15	63.9	BURBANK-GLENDALE-PAS
1973-04-16	72.0	BURBANK-GLENDALE-PAS
1973-04-17	70.9	BURBANK-GLENDALE-PAS
1973-04-18	68.9	BURBANK-GLENDALE-PAS
1973-04-19	70.0	BURBANK-GLENDALE-PAS
1973-04-20	70.0	BURBANK-GLENDALE-PAS
1973-04-21	75.9	BURBANK-GLENDALE-PAS
1973-04-22	82.9	BURBANK-GLENDALE-PAS
1973-04-23	79.0	BURBANK-GLENDALE-PAS
1973-04-24	72.0	BURBANK-GLENDALE-PAS
1973-04-25	74.8	BURBANK-GLENDALE-PAS
1973-04-26	81.0	BURBANK-GLENDALE-PAS
1973-04-27	73.9	BURBANK-GLENDALE-PAS
1973-04-28	64.9	BURBANK-GLENDALE-PAS
1973-04-29	59.9	BURBANK-GLENDALE-PAS
1973-04-30	61.0	BURBANK-GLENDALE-PAS
1973-05-01	72.9	BURBANK-GLENDALE-PAS
1973-05-02	86.9	BURBANK-GLENDALE-PAS
1973-05-03	84.9	BURBANK-GLENDALE-PAS
1973-05-04	79.9	BURBANK-GLENDALE-PAS
1973-05-05	66.9	BURBANK-GLENDALE-PAS
1973-05-06	68.0	BURBANK-GLENDALE-PAS
1973-05-07	70.9	BURBANK-GLENDALE-PAS
1973-05-08	79.9	BURBANK-GLENDALE-PAS
1973-05-09	84.9	BURBANK-GLENDALE-PAS
1973-05-10	86.0	BURBANK-GLENDALE-PAS
1973-05-11	79.9	BURBANK-GLENDALE-PAS
1973-05-12	72.0	BURBANK-GLENDALE-PAS
1973-05-13	68.0	BURBANK-GLENDALE-PAS
1973-05-14	70.0	BURBANK-GLENDALE-PAS
1973-05-15	77.9	BURBANK-GLENDALE-PAS
1973-05-16	79.0	BURBANK-GLENDALE-PAS
1973-05-17	79.0	BURBANK-GLENDALE-PAS
1973-05-18	79.0	BURBANK-GLENDALE-PAS
1973-05-19	73.9	BURBANK-GLENDALE-PAS
1973-05-20	70.0	BURBANK-GLENDALE-PAS
1973-05-21	70.9	BURBANK-GLENDALE-PAS
1973-05-22	72.9	BURBANK-GLENDALE-PAS
1973-05-23	75.9	BURBANK-GLENDALE-PAS
1973-05-24	74.8	BURBANK-GLENDALE-PAS
1973-05-25	70.0	BURBANK-GLENDALE-PAS
1973-05-26	74.8	BURBANK-GLENDALE-PAS
1973-05-28	102.9	BURBANK-GLENDALE-PAS
1973-05-29	97.9	BURBANK-GLENDALE-PAS
1973-05-30	82.9	BURBANK-GLENDALE-PAS
1973-05-31	72.0	BURBANK-GLENDALE-PAS
1973-06-01	65.8	BURBANK-GLENDALE-PAS
1973-06-02	68.9	BURBANK-GLENDALE-PAS
1973-06-03	70.0	BURBANK-GLENDALE-PAS
1973-06-04	77.9	BURBANK-GLENDALE-PAS
1973-06-05	95.0	BURBANK-GLENDALE-PAS
1973-06-06	97.9	BURBANK-GLENDALE-PAS
1973-06-07	95.0	BURBANK-GLENDALE-PAS
1973-06-08	93.9	BURBANK-GLENDALE-PAS
1973-06-09	86.0	BURBANK-GLENDALE-PAS
1973-06-10	86.0	BURBANK-GLENDALE-PAS
1973-06-11	79.0	BURBANK-GLENDALE-PAS
1973-06-12	77.9	BURBANK-GLENDALE-PAS
1973-06-13	73.9	BURBANK-GLENDALE-PAS
1973-06-14	72.9	BURBANK-GLENDALE-PAS
1973-06-15	72.0	BURBANK-GLENDALE-PAS
1973-06-16	74.8	BURBANK-GLENDALE-PAS
1973-06-17	77.9	BURBANK-GLENDALE-PAS
1973-06-18	88.0	BURBANK-GLENDALE-PAS
1973-06-19	102.9	BURBANK-GLENDALE-PAS
1973-06-20	104.9	BURBANK-GLENDALE-PAS
1973-06-21	106.9	BURBANK-GLENDALE-PAS
1973-06-22	102.9	BURBANK-GLENDALE-PAS
1973-06-23	100.9	BURBANK-GLENDALE-PAS
1973-06-24	90.9	BURBANK-GLENDALE-PAS
1973-06-25	91.9	BURBANK-GLENDALE-PAS
1973-06-26	97.9	BURBANK-GLENDALE-PAS
1973-06-27	82.9	BURBANK-GLENDALE-PAS
1973-06-28	82.9	BURBANK-GLENDALE-PAS
1973-06-29	83.8	BURBANK-GLENDALE-PAS
1973-06-30	86.0	BURBANK-GLENDALE-PAS
1973-07-01	90.0	BURBANK-GLENDALE-PAS
1973-07-02	93.9	BURBANK-GLENDALE-PAS
1973-07-03	102.9	BURBANK-GLENDALE-PAS
1973-07-04	99.0	BURBANK-GLENDALE-PAS
1973-07-05	90.0	BURBANK-GLENDALE-PAS
1973-07-06	81.9	BURBANK-GLENDALE-PAS
1973-07-07	79.9	BURBANK-GLENDALE-PAS
1973-07-08	81.9	BURBANK-GLENDALE-PAS
1973-07-09	86.0	BURBANK-GLENDALE-PAS
1973-07-10	86.0	BURBANK-GLENDALE-PAS
1973-07-11	84.9	BURBANK-GLENDALE-PAS
1973-07-12	81.0	BURBANK-GLENDALE-PAS
1973-07-13	81.0	BURBANK-GLENDALE-PAS
1973-07-14	79.0	BURBANK-GLENDALE-PAS
1973-07-15	77.9	BURBANK-GLENDALE-PAS
1973-07-16	81.0	BURBANK-GLENDALE-PAS
1973-07-17	81.0	BURBANK-GLENDALE-PAS
1973-07-18	81.0	BURBANK-GLENDALE-PAS
1973-07-19	82.9	BURBANK-GLENDALE-PAS
1973-07-20	79.9	BURBANK-GLENDALE-PAS
1973-07-21	77.0	BURBANK-GLENDALE-PAS
1973-07-22	79.0	BURBANK-GLENDALE-PAS
1973-07-23	83.8	BURBANK-GLENDALE-PAS
1973-07-24	95.0	BURBANK-GLENDALE-PAS
1973-07-25	97.0	BURBANK-GLENDALE-PAS
1973-07-26	93.9	BURBANK-GLENDALE-PAS
1973-07-27	90.9	BURBANK-GLENDALE-PAS
1973-07-28	92.8	BURBANK-GLENDALE-PAS
1973-07-29	83.8	BURBANK-GLENDALE-PAS
1973-07-30	84.9	BURBANK-GLENDALE-PAS
1973-07-31	92.8	BURBANK-GLENDALE-PAS
1973-08-01	90.0	BURBANK-GLENDALE-PAS
1973-08-02	88.9	BURBANK-GLENDALE-PAS
